日付,曜日,ハンバーガー注文数,ポテト注文数,メモ
2026-01-01,木,198,113,
2026-01-02,金,116,75,
2026-01-03,土,95,50,
2026-01-04,日,122,74,
2026-01-05,月,138,70,
2026-01-06,火,194,122,
2026-01-07,水,143,86,
2026-01-08,木,92,60,
2026-01-09,金,127,80,
2026-01-10,土,164,83,
2026-01-11,日,194,121,
2026-01-12,月,182,130,
2026-01-13,火,219,106,
2026-01-14,水,106,43,
2026-01-15,木,204,99,
2026-01-16,金,87,63,
2026-01-17,土,158,93,
2026-01-18,日,118,83,
2026-01-19,月,108,14,品切れ（ポテトが売り切れ）
2026-01-20,火,172,102,
2026-01-21,水,123,76,
2026-01-22,木,159,90,
2026-01-23,金,116,79,
2026-01-24,土,101,47,
2026-01-25,日,185,102,
2026-01-26,月,141,127,セット割キャンペーン（ポテトが伸びた）
2026-01-27,火,175,123,
2026-01-28,水,174,92,
2026-01-29,木,213,109,
2026-01-30,金,139,75,
